,NTACode,yearMonth,subwayExits,subwayEntries
481,BK61,201602,1127338.0,1614673.0
482,BK61,201603,1096965.0,1631366.0
483,BK61,201604,1879106.0,1951269.4662181714
484,BK61,201605,1027681.0,1546635.0
485,BK61,201606,549217.0,848933.0
486,BK61,201607,751245.0,1111132.0
487,BK61,201608,990395.0,1461528.0
488,BK61,201609,1022402.0,1514250.0
489,BK61,201610,1090468.0,1670998.0
490,BK61,201611,1123887.0,1660568.0
491,BK61,201612,837900.0,1245054.0
492,BK61,201701,1142942.0,2039519.0
493,BK61,201702,789107.0,1161436.0
494,BK61,201703,870680.0,1306705.0
495,BK61,201704,1008881.0,1551483.0
496,BK61,201705,1103123.0,1681564.0
497,BK61,201706,570783.0,864986.0
498,BK61,201707,936534.0,1368917.0
499,BK61,201708,977300.0,1429085.0
500,BK61,201709,781029.0,1149789.0
501,BK61,201710,1095819.0,1607068.0
502,BK61,201711,1065131.0,1489694.0
503,BK61,201712,545068.0,764315.0
504,BK63,201601,103593.0,95987.0
505,BK63,201602,107362.0,101941.0
506,BK63,201603,97244.0,94081.0
507,BK63,201604,91621.0,93334.0
508,BK63,201605,102113.0,101563.0
509,BK63,201606,48170.0,49936.0
510,BK63,201607,65273.0,65929.0
511,BK63,201608,85940.0,88340.0
512,BK63,201609,105057.0,102314.0
513,BK63,201610,100018.0,99927.0
514,BK63,201611,112113.0,105632.0
515,BK63,201612,79917.0,76385.0
516,BK63,201701,108199.0,102005.0
517,BK63,201702,78199.0,74587.0
518,BK63,201703,88983.0,86381.0
519,BK63,201704,90483.0,92836.0
520,BK63,201705,104446.0,105281.0
521,BK63,201706,49715.0,51217.0
522,BK63,201707,80122.0,83470.0
523,BK63,201708,85462.0,89600.0
524,BK63,201709,74829.0,75698.0
525,BK63,201710,106165.0,106083.0
526,BK63,201711,110568.0,105208.0
527,BK63,201712,55040.0,54457.0
528,BK68,201601,878702.0,1495255.0
529,BK68,201602,899306.0,1595146.0
530,BK68,201603,1015513.0,1812509.0
531,BK68,201604,954072.0,1718368.0
532,BK68,201605,978609.0,1781035.0
533,BK68,201606,15393135.0,2565152.158998843
534,BK68,201607,673142.0,1236916.0
535,BK68,201608,928565.0,1668756.0
536,BK68,201609,936084.0,1750306.0
537,BK68,201610,959102.0,1788491.0
538,BK68,201611,928385.0,1737402.0
539,BK68,201612,720710.0,1305747.0
540,BK68,201701,2167284.0,2493973.0
541,BK68,201702,656440.0,1215227.0
542,BK68,201703,728616.0,1366919.0
543,BK68,201704,905755.0,1686904.0
544,BK68,201705,950793.0,1744599.0
545,BK68,201706,478294.0,877606.0
546,BK68,201707,5418712.0,8385682.0
547,BK68,201708,3713579.7916666665,4905243.815972223
548,BK68,201709,809805.0,1383340.0
549,BK68,201710,1068169.0,1876947.0
550,BK68,201711,979873.0,1734942.0
551,BK68,201712,514578.0,913378.0
552,BK69,201601,296751.0,523658.0
553,BK69,201602,292938.0,533448.0
554,BK69,201603,305734.0,587841.0
555,BK69,201604,275913.0,555094.0
556,BK69,201605,282834.0,2720806.0
557,BK69,201606,143724.0,278443.0
558,BK69,201607,197343.0,378013.0
559,BK69,201608,269342.0,504047.0
560,BK69,201609,282195.0,557479.0
561,BK69,201610,293806.0,572587.0
562,BK69,201611,311805.0,561755.0
563,BK69,201612,236852.0,84405876.0
564,BK69,201701,351522.0,134773957.0
565,BK69,201702,220451.0,389380.0
566,BK69,201703,240572.0,454887.0
567,BK69,201704,279710.0,536802.0
568,BK69,201705,302169.0,569868.0
569,BK69,201706,152410.0,286357.0
570,BK69,201707,265716.0,134730084.0
571,BK69,201708,276108.0,503831.0
572,BK69,201709,229245.0,434831.0
573,BK69,201710,308787.0,583075.0
574,BK69,201711,329549.0,588580.0
575,BK69,201712,166107.0,279425.0
576,BK72,201601,28947.0,75645.0
577,BK72,201602,28046.0,87480.0
578,BK72,201603,34953.0,77012.0
579,BK72,201604,32812.0,67668.0
580,BK72,201605,32869.0,70812.0
581,BK72,201606,17413.0,38410.0
582,BK72,201607,23317.0,53197.0
583,BK72,201608,30615.0,59580.0
584,BK72,201609,32345.0,64443.0
585,BK72,201610,32834.0,66438.0
586,BK72,201611,30844.0,67101.0
587,BK72,201612,22844.0,43748.0
588,BK72,201701,30572.0,65198.0
589,BK72,201702,20600.0,46935.0
590,BK72,201703,25398.0,54973.0
591,BK72,201704,30391.0,65948.0
592,BK72,201705,34882.0,77433.0
593,BK72,201706,16044.0,34908.0
594,BK72,201707,29493.0,61047.0
595,BK72,201708,33332.0,63076.0
596,BK72,201709,26490.0,50787.0
597,BK72,201710,35994.0,74435.0
598,BK72,201711,33398.0,83492.0
599,BK72,201712,17226.0,37298.0
600,BK73,201601,403466.0,587558.0
601,BK73,201602,372553.0,547558.0
602,BK73,201603,1187689.8333333333,1949823.203125
603,BK73,201604,464917.0,677981.0
604,BK73,201605,526400.2430555555,3960633.0
605,BK73,201606,248161.0,356381.0
606,BK73,201607,354179.0,489446.0
607,BK73,201608,474128.0,660382.0
608,BK73,201609,477046.0,689286.0
609,BK73,201610,483213.0,696387.0
610,BK73,201611,451761.0,658538.0
611,BK73,201612,342583.0,494821.0
612,BK73,201701,433943.0,626598.0
613,BK73,201702,312136.0,1316501.6282552083
614,BK73,201703,349942.0,508246.0
615,BK73,201704,451275.0,640805.0
616,BK73,201705,501807.0,740339.0
617,BK73,201706,259363.0,365392.0
618,BK73,201707,351367.0,512696.0
619,BK73,201708,367248.0,542243.0
620,BK73,201709,252730.0,449201.0
621,BK73,201710,371655.0,607111.0
622,BK73,201711,387098.0,566762.0
623,BK73,201712,212992.0,298452.0
624,BK75,201601,1295382.0,1578179.0
625,BK75,201602,18422172.0,24690013.75
626,BK75,201603,3145124.0,3324574.0
627,BK75,201604,1245817.0,1648455.0
628,BK75,201605,20175842.0,11665294.65625
629,BK75,201606,669893.0,878105.0
630,BK75,201607,947809.0,1200921.0
631,BK75,201608,11176226.333333334,7187645.18359375
632,BK75,201609,1237568.0,1630054.0
633,BK75,201610,1253902.0,1669831.0
634,BK75,201611,1332129.0,1677078.0
635,BK75,201612,986548.0,1240087.0
636,BK75,201701,1330890.0,1650842.0
637,BK75,201702,959262.0,1175321.0
638,BK75,201703,1016498.0,1318191.0
639,BK75,201704,1238714.0,1617252.0
640,BK75,201705,1176240.0,1589918.0
641,BK75,201706,2384421.0,3042700.0
642,BK75,201707,1226411.0,1518823.0
643,BK75,201708,1234642.0,1570878.0
644,BK75,201709,1002847.0,1286901.0
645,BK75,201710,1325056.0,1731922.0
646,BK75,201711,1368329.0,1699155.0
647,BK75,201712,716384.0,886257.0
648,BK76,201601,162861.0,233689.0
649,BK76,201602,163804.0,235098.0
650,BK76,201603,166416.0,245132.0
651,BK76,201604,139914.0,210064.0
652,BK76,201605,150405.0,223012.0
653,BK76,201606,80287.0,118052.0
654,BK76,201607,111890.0,160402.0
655,BK76,201608,147179.0,212779.0
656,BK76,201609,148090.0,218823.0
657,BK76,201610,152337.0,226821.0
658,BK76,201611,161558.0,235918.0
659,BK76,201612,121326.0,176428.0
660,BK76,201701,168553.0,242888.0
661,BK76,201702,136528.0,202369.0
662,BK76,201703,217973.0,380393.0
663,BK76,201704,236984.0,418579.0
664,BK76,201705,242919.0,437366.0
665,BK76,201706,113582.0,200929.0
666,BK76,201707,238540.0,400998.0
667,BK76,201708,249975.0,426851.0
668,BK76,201709,253002.0,318083.2916666667
669,BK76,201710,254897.0,447607.0
670,BK76,201711,280671.0,475237.0
671,BK76,201712,135964.0,234166.0
672,BK77,201601,648846.0,1159300.0
673,BK77,201602,634129.0,1172713.0
674,BK77,201603,700803.0,1300725.0
675,BK77,201604,594174.0,1179538.0
676,BK77,201605,583648.0,1145013.0
677,BK77,201606,357584.0,648460.0
678,BK77,201607,490657.0,896321.0
679,BK77,201608,636248.0,1165464.0
680,BK77,201609,662276.0,1222460.0
681,BK77,201610,679130.0,1255864.0
682,BK77,201611,1397766.7604166667,3193568.5173611105
683,BK77,201612,525193.0,932866.0
684,BK77,201701,685622.0,1217366.0
685,BK77,201702,490811.0,877856.0
686,BK77,201703,536377.0,1016197.0
687,BK77,201704,620388.0,1202656.0
688,BK77,201705,653686.0,1252209.0
689,BK77,201706,354351.0,674280.0
690,BK77,201707,619725.0,1309283.0
691,BK77,201708,626188.0,1349870.0
692,BK77,201709,463904.0,1016895.0
693,BK77,201710,1397766.7604166667,3193568.5173611105
694,BK77,201711,600202.0,1296540.0
695,BK77,201712,663886.0,3457320.0
696,BK78,201601,687147.0,1460398.0
697,BK78,201602,646807.0,1394228.0
698,BK78,201603,724636.0,1593707.0
699,BK78,201604,727494.0,1630866.0
700,BK78,201605,707648.0,1587924.0
701,BK78,201606,362911.0,806660.0
702,BK78,201607,501745.0,1091974.0
703,BK78,201608,641641.0,1410309.0
704,BK78,201609,686721.0,1512516.0
705,BK78,201610,689942.0,1534195.0
706,BK78,201611,673825.0,1471081.0
707,BK78,201612,761971.125,1599830.6666666667
708,BK78,201701,688670.0,1457784.0
709,BK78,201702,490667.0,1044983.0
710,BK78,201703,551559.0,1194934.0
711,BK78,201704,631791.0,1418853.0
712,BK78,201705,671664.0,1508815.0
713,BK78,201706,361707.0,801760.0
714,BK78,201707,638262.0,1388825.0
715,BK78,201708,672472.0,1452654.0
716,BK78,201709,526585.0,1171062.0
717,BK78,201710,711618.0,1592033.0
718,BK78,201711,705181.0,1510674.0
719,BK78,201712,480999.0,813530.0
720,BK79,201601,372517.0,604686.0
721,BK79,201602,339654.0,575825.0
722,BK79,201603,410486.0,673574.0
723,BK79,201604,485090.0,786533.0
724,BK79,201605,551353.0,842699.0
725,BK79,201606,272676.0,413639.0
726,BK79,201607,381393.0,584158.0
727,BK79,201608,506261.0,787078.0
728,BK79,201609,838062.0,943223.0
729,BK79,201610,513755.0,782765.0
730,BK79,201611,521362.0,773237.0
731,BK79,201612,394983.0,590882.0
732,BK79,201701,516285.0,768701.0
733,BK79,201702,648194.0,771616.0
734,BK79,201703,410485.0,631316.0
735,BK79,201704,479270.0,745294.0
736,BK79,201705,536790.0,826547.0
737,BK79,201706,261803.0,406837.0
738,BK79,201707,451628.0,688071.0
739,BK79,201708,467503.0,715314.0
740,BK79,201709,378545.0,580247.0
