,Station,yearMonth,Exits,Entries,Total_Volume,station_name,latitude,longitude,geometry
176,CATHEDRAL PKWY,201709,195281,391712,586993,CATHEDRAL PKWY,40.8039733,-73.9666165,POINT (-73.9666165 40.8039733)
177,CENTRAL AV,201709,35,2,37,CENTRAL AV,40.697857,-73.927397,POINT (-73.927397 40.697857)
178,CENTRAL PK N110,201709,131901,174060,305961,CENTRAL PK N110,40.7984831,-73.9526131,POINT (-73.95261309999999 40.7984831)
179,CHAMBERS ST,201709,960552,1116767,2077319,CHAMBERS ST,40.715477,-74.00927,POINT (-74.00927 40.715477)
180,CHAUNCEY ST,201709,26971,71542,98513,CHAUNCEY ST,40.682893,-73.910456,POINT (-73.910456 40.682893)
181,CHRISTOPHER ST,201709,269321,267750,537071,CHRISTOPHER ST,40.73347070000001,-74.0030617,POINT (-74.0030617 40.73347070000001)
182,CHURCH AV,201709,447759,728419,1176178,CHURCH AV,40.6495233,-73.9632839,POINT (-73.96328389999999 40.6495233)
183,CITY / BUS,201709,2469879,1210525,3680404,CITY / BUS,40.7130106,-74.0032796,POINT (-74.0032796 40.7130106)
184,CITY HALL,201709,83391,141937,225328,CITY HALL,40.713065,-74.004131,POINT (-74.004131 40.713065)
185,CLARK ST,201709,43341,82728,126069,CLARK ST,40.6977218,-73.99297899999999,POINT (-73.99297899999999 40.6977218)
186,CLASSON AV,201709,78634,96412,175046,CLASSON AV,40.688873,-73.96007,POINT (-73.96007 40.688873)
187,CLEVELAND ST,201709,59384,65834,125218,CLEVELAND ST,40.679947,-73.88463899999999,POINT (-73.88463899999999 40.679947)
188,CLINTON-WASH AV,201709,107346,239266,346612,CLINTON-WASH AV,40.6880915,-73.9675499,POINT (-73.96754989999999 40.6880915)
189,CONEY IS-STILLW,201709,251777,289541,541318,CONEY IS-STILLW,40.577422,-73.981233,POINT (-73.981233 40.577422)
190,CORTELYOU RD,201709,36074,127859,163933,CORTELYOU RD,40.6412679,-73.9639359,POINT (-73.9639359 40.6412679)
191,CORTLANDT ST,201709,279785,370501,650286,CORTLANDT ST,40.7108803,-74.0107666,POINT (-74.0107666 40.7108803)
192,COURT SQ,201709,1570464,4501649,6072113,COURT SQ,40.7467885,-73.944548,POINT (-73.944548 40.7467885)
193,COURT SQ-23 ST,201709,11480386,22428464,33908850,COURT SQ-23 ST,40.7467885,-73.944548,POINT (-73.944548 40.7467885)
194,CRESCENT ST,201709,103950,101566,205516,CRESCENT ST,40.6834543,-73.8726263,POINT (-73.87262629999999 40.6834543)
195,CROWN HTS-UTICA,201709,322840,502688,825528,CROWN HTS-UTICA,40.6689471,-73.93184,POINT (-73.93183999999999 40.6689471)
196,CYPRESS AV,201709,48181,77477,125658,CYPRESS AV,40.805368,-73.914042,POINT (-73.91404199999999 40.805368)
197,CYPRESS HILLS,201709,16310,27764,44074,CYPRESS HILLS,40.689941,-73.87254999999999,POINT (-73.87254999999999 40.689941)
198,DEKALB AV,201709,231556,691404,922960,DEKALB AV,40.6898115,-73.9811745,POINT (-73.98117449999999 40.6898115)
199,DELANCEY/ESSEX,201709,335587,453470,789057,DELANCEY/ESSEX,40.718613,-73.988113,POINT (-73.988113 40.718613)
200,DITMAS AV,201709,34212,67160,101372,DITMAS AV,40.6354536,-73.9782548,POINT (-73.9782548 40.6354536)
201,DYCKMAN ST,201709,71950,274611,346561,DYCKMAN ST,40.8652172,-73.9272555,POINT (-73.9272555 40.8652172)
202,E 143/ST MARY'S,201709,21147,20018,41165,E 143/ST MARY'S,40.80834919999999,-73.9076307,POINT (-73.9076307 40.80834919999999)
203,E 149 ST,201709,82983,97912,180895,E 149 ST,40.816129,-73.917811,POINT (-73.917811 40.816129)
204,E 180 ST,201709,128096,175612,303708,E 180 ST,40.841894,-73.873488,POINT (-73.87348799999999 40.841894)
205,EAST 105 ST,201709,64765,75057,139822,EAST 105 ST,40.6513735,-73.89900279999999,POINT (-73.89900279999999 40.6513735)
206,EAST BROADWAY,201709,109727,249846,359573,EAST BROADWAY,40.7203142,-73.9934421,POINT (-73.9934421 40.7203142)
207,EASTCHSTER/DYRE,201709,84030,88340,172370,EASTCHSTER/DYRE,40.8883,-73.830834,POINT (-73.830834 40.8883)
208,EASTN PKWY-MUSM,201709,72737,87112,159849,EASTN PKWY-MUSM,40.6718194,-73.964328,POINT (-73.96432799999999 40.6718194)
209,ELDER AV,201709,108627,133411,242038,ELDER AV,40.828601,-73.87917159999999,POINT (-73.87917159999999 40.828601)
210,ELMHURST AV,201709,47561,246783,294344,ELMHURST AV,40.7484876,-73.87653279999999,POINT (-73.87653279999999 40.7484876)
211,EUCLID AV,201709,56775,210032,266807,EUCLID AV,40.675377,-73.872106,POINT (-73.872106 40.675377)
212,EXCHANGE PLACE,201709,727589,561245,1288834,EXCHANGE PLACE,40.71180409999999,-74.0101995,POINT (-74.0101995 40.71180409999999)
213,FAR ROCKAWAY,201709,87849,93686,181535,FAR ROCKAWAY,40.59967839999999,-73.7617897,POINT (-73.76178969999999 40.59967839999999)
214,FLATBUSH AV-B.C,201709,207497,394359,601856,FLATBUSH AV-B.C,40.6898115,-73.9811745,POINT (-73.98117449999999 40.6898115)
215,FLUSHING AV,201709,119054,214680,333734,FLUSHING AV,40.7007225,-73.941931,POINT (-73.941931 40.7007225)
216,FLUSHING-MAIN,201709,817527,1133809,1951336,FLUSHING-MAIN,40.759699,-73.829978,POINT (-73.829978 40.759699)
217,FORDHAM RD,201709,903085,3706756,4609841,FORDHAM RD,40.8628682,-73.9011137,POINT (-73.9011137 40.8628682)
218,FOREST AVE,201709,27454,36577,64031,FOREST AVE,40.704422,-73.903076,POINT (-73.903076 40.704422)
219,FOREST HILLS 71,201709,260927,521988,782915,FOREST HILLS 71,40.721691,-73.844521,POINT (-73.844521 40.721691)
220,FRANKLIN AV,201709,246450,391050,637500,FRANKLIN AV,40.7192769,-74.0070636,POINT (-74.0070636 40.7192769)
221,FRANKLIN ST,201709,61475,103787,165262,FRANKLIN ST,40.7192769,-74.0070636,POINT (-74.0070636 40.7192769)
222,FREEMAN ST,201709,56006,81408,137414,FREEMAN ST,40.830152,-73.8916773,POINT (-73.8916773 40.830152)
223,FRESH POND RD,201709,62501,65378,127879,FRESH POND RD,40.7062829,-73.8957514,POINT (-73.89575139999999 40.7062829)
224,FT HAMILTON PKY,201709,98833,279167,378000,FT HAMILTON PKY,40.6497679,-73.97576750000002,POINT (-73.97576750000002 40.6497679)
225,FULTON ST,201709,151946204,235774886,387721090,FULTON ST,40.709373,-74.0083258,POINT (-74.00832579999999 40.709373)
226,GATES AV,201709,52782,153224,206006,GATES AV,40.68963,-73.92227,POINT (-73.92227 40.68963)
227,GRAHAM AV,201709,119179,198208,317387,GRAHAM AV,40.7145263,-73.94438180000002,POINT (-73.94438180000002 40.7145263)
228,GRAND ARMY PLAZ,201709,47224,134631,181855,GRAND ARMY PLAZ,40.675235,-73.971046,POINT (-73.971046 40.675235)
229,GRAND ST,201709,413168,537372,950540,GRAND ST,40.7527262,-73.9772294,POINT (-73.9772294 40.7527262)
230,GRAND-NEWTOWN,201709,4057925,1286415,5344340,GRAND-NEWTOWN,40.7373619,-73.8772044,POINT (-73.8772044 40.7373619)
231,GRANT AV,201709,84965,123405,208370,GRANT AV,40.6768813,-73.865353,POINT (-73.865353 40.6768813)
232,GRD CNTRL-42 ST,201709,2972758,2910661,5883419,GRD CNTRL-42 ST,40.7526116,-73.977327,POINT (-73.977327 40.7526116)
233,GREENPOINT AV,201709,179306,1112213,1291519,GREENPOINT AV,40.7301449,-73.9540561,POINT (-73.9540561 40.7301449)
234,GROVE STREET,201709,576962,657281,1234243,GROVE STREET,40.7196062,-74.04263569999999,POINT (-74.04263569999999 40.7196062)
235,GUN HILL RD,201709,184390,274059,458449,GUN HILL RD,40.8777414,-73.86628089999999,POINT (-73.86628089999999 40.8777414)
236,HALSEY ST,201709,142484,319793,462277,HALSEY ST,40.6859916,-73.91575089999999,POINT (-73.91575089999999 40.6859916)
