,NTACode,yearMonth,citibike_arrivals
835,MN25,201606,93763
836,MN25,201607,88315
837,MN25,201608,95528
838,MN25,201609,95568
839,MN25,201610,83686
840,MN25,201611,58648
841,MN25,201612,35460
842,MN25,201701,32181
843,MN25,201702,37100
844,MN25,201703,32508
845,MN25,201704,66677
846,MN25,201705,81903
847,MN25,201706,98047
848,MN25,201707,99885
849,MN25,201708,206016
850,MN25,201709,100222
851,MN25,201710,93493
852,MN25,201711,56646
853,MN25,201712,35588
854,MN25,201801,28029
855,MN25,201802,35649
856,MN25,201803,39842
857,MN27,201601,19687
858,MN27,201602,21166
859,MN27,201603,34340
860,MN27,201604,36372
861,MN27,201605,42068
862,MN27,201606,52360
863,MN27,201607,52972
864,MN27,201608,54182
865,MN27,201609,55435
866,MN27,201610,51408
867,MN27,201611,40414
868,MN27,201612,27796
869,MN27,201701,24972
870,MN27,201702,27737
871,MN27,201703,24747
872,MN27,201704,43219
873,MN27,201705,49417
874,MN27,201706,57738
875,MN27,201707,61017
876,MN27,201708,121424
877,MN27,201709,62183
878,MN27,201710,61742
879,MN27,201711,41799
880,MN27,201712,28504
881,MN27,201801,22955
882,MN27,201802,26397
883,MN27,201803,32635
884,MN28,201601,14843
885,MN28,201602,16110
886,MN28,201603,26427
887,MN28,201604,28725
888,MN28,201605,33832
889,MN28,201606,38696
890,MN28,201607,38214
891,MN28,201608,40411
892,MN28,201609,40220
893,MN28,201610,37370
894,MN28,201611,30390
895,MN28,201612,22299
896,MN28,201701,20370
897,MN28,201702,21562
898,MN28,201703,20759
899,MN28,201704,32675
900,MN28,201705,38110
901,MN28,201706,40980
902,MN28,201707,39845
903,MN28,201708,84812
904,MN28,201709,44570
905,MN28,201710,47467
906,MN28,201711,34801
907,MN28,201712,25455
908,MN28,201801,21557
909,MN28,201802,24183
910,MN28,201803,28741
911,MN31,201601,8851
912,MN31,201602,9369
913,MN31,201603,15213
914,MN31,201604,17225
915,MN31,201605,21653
916,MN31,201606,26279
917,MN31,201607,23505
918,MN31,201608,28705
919,MN31,201609,31116
920,MN31,201610,32155
921,MN31,201611,25841
922,MN31,201612,18798
923,MN31,201701,15950
924,MN31,201702,15908
925,MN31,201703,14234
926,MN31,201704,24176
927,MN31,201705,28914
928,MN31,201706,31048
929,MN31,201707,30016
930,MN31,201708,62572
931,MN31,201709,34872
932,MN31,201710,35104
933,MN31,201711,26814
934,MN31,201712,17877
935,MN31,201801,14290
936,MN31,201802,16137
937,MN31,201803,18005
938,MN32,201601,4108
939,MN32,201602,4538
940,MN32,201603,7658
941,MN32,201604,8973
942,MN32,201605,11409
943,MN32,201606,14472
944,MN32,201607,13510
945,MN32,201608,19359
946,MN32,201609,21839
947,MN32,201610,21059
948,MN32,201611,16035
949,MN32,201612,11045
950,MN32,201701,8986
951,MN32,201702,9391
952,MN32,201703,9121
953,MN32,201704,17090
954,MN32,201705,20253
955,MN32,201706,21697
956,MN32,201707,24165
957,MN32,201708,49283
958,MN32,201709,24841
959,MN32,201710,25326
960,MN32,201711,18092
961,MN32,201712,12449
962,MN32,201801,10229
963,MN32,201802,10409
964,MN32,201803,12741
965,MN33,201608,6162
966,MN33,201609,11379
967,MN33,201610,11160
968,MN33,201611,8646
969,MN33,201612,5506
970,MN33,201701,5143
971,MN33,201702,5376
972,MN33,201703,5150
973,MN33,201704,10359
974,MN33,201705,12060
975,MN33,201706,13877
976,MN33,201707,14533
977,MN33,201708,29022
978,MN33,201709,14931
979,MN33,201710,14860
980,MN33,201711,11010
981,MN33,201712,7465
982,MN33,201801,5952
983,MN33,201802,6718
984,MN33,201803,7841
985,MN34,201709,2811
986,MN34,201710,7490
987,MN34,201711,6271
988,MN34,201712,4760
989,MN34,201801,3931
990,MN34,201802,4548
991,MN34,201803,5606
992,MN40,201601,5823
993,MN40,201602,6453
994,MN40,201603,11302
995,MN40,201604,13070
996,MN40,201605,16166
997,MN40,201606,19235
998,MN40,201607,17634
999,MN40,201608,21252
1000,MN40,201609,20974
1001,MN40,201610,24260
1002,MN40,201611,19711
1003,MN40,201612,13418
1004,MN40,201701,10472
1005,MN40,201702,10268
1006,MN40,201703,9345
1007,MN40,201704,15278
1008,MN40,201705,16975
1009,MN40,201706,21469
1010,MN40,201707,19347
1011,MN40,201708,44408
1012,MN40,201709,21862
1013,MN40,201710,20741
1014,MN40,201711,15996
1015,MN40,201712,11746
1016,MN40,201801,8774
1017,MN40,201802,9880
1018,MN40,201803,10799
1019,MN50,201601,10766
1020,MN50,201602,11935
1021,MN50,201603,18691
1022,MN50,201604,19787
1023,MN50,201605,22529
1024,MN50,201606,25910
1025,MN50,201607,24935
1026,MN50,201608,26297
1027,MN50,201609,9007
1028,MN50,201610,17135
1029,MN50,201611,17600
1030,MN50,201612,14378
1031,MN50,201701,13509
1032,MN50,201702,14329
1033,MN50,201703,13390
1034,MN50,201704,21699
1035,MN50,201705,24416
1036,MN50,201706,26278
1037,MN50,201707,22897
1038,MN50,201708,42425
1039,MN50,201709,23252
1040,MN50,201710,23508
1041,MN50,201711,17957
1042,MN50,201712,13136
1043,MN50,201801,10665
1044,MN50,201802,11514
1045,MN50,201803,13576
1046,MN99,201601,7885
1047,MN99,201602,8700
1048,MN99,201603,19551
1049,MN99,201604,25089
1050,MN99,201605,33566
1051,MN99,201606,37818
1052,MN99,201607,39073
1053,MN99,201608,50826
1054,MN99,201609,56387
1055,MN99,201610,47274
1056,MN99,201611,24749
1057,MN99,201612,16906
1058,MN99,201701,15103
1059,MN99,201702,18831
1060,MN99,201703,15498
1061,MN99,201704,51307
1062,MN99,201705,52864
1063,MN99,201706,54617
1064,MN99,201707,65768
1065,MN99,201708,128196
1066,MN99,201709,61600
1067,MN99,201710,57772
1068,MN99,201711,25195
1069,MN99,201712,19317
1070,MN99,201801,14859
1071,MN99,201802,18824
1072,MN99,201803,24091
1073,QN31,201601,2401
1074,QN31,201602,2618
1075,QN31,201603,4416
1076,QN31,201604,5596
1077,QN31,201605,6658
1078,QN31,201606,9142
1079,QN31,201607,8909
1080,QN31,201608,9276
1081,QN31,201609,9192
1082,QN31,201610,8130
1083,QN31,201611,6238
1084,QN31,201612,4144
1085,QN31,201701,3509
1086,QN31,201702,3989
1087,QN31,201703,3975
1088,QN31,201704,7527
1089,QN31,201705,8521
1090,QN31,201706,10514
1091,QN31,201707,10363
1092,QN31,201708,21782
1093,QN31,201709,10790
1094,QN31,201710,11573
1095,QN31,201711,8935
1096,QN31,201712,5644
1097,QN31,201801,4395
1098,QN31,201802,5443
1099,QN31,201803,6774
1100,QN68,201601,520
1101,QN68,201602,519
1102,QN68,201603,1180
1103,QN68,201604,1523
1104,QN68,201605,1967
1105,QN68,201606,2658
1106,QN68,201607,2527
1107,QN68,201608,2798
1108,QN68,201609,2730
1109,QN68,201610,2326
1110,QN68,201611,1633
1111,QN68,201612,899
1112,QN68,201701,900
1113,QN68,201702,1117
1114,QN68,201703,966
1115,QN68,201704,2183
1116,QN68,201705,2562
1117,QN68,201706,3114
1118,QN68,201707,3205
1119,QN68,201708,6545
1120,QN68,201709,3474
1121,QN68,201710,5971
1122,QN68,201711,5041
1123,QN68,201712,3283
1124,QN68,201801,2942
1125,QN68,201802,3158
1126,QN68,201803,3723
1127,QN70,201709,389
1128,QN70,201710,7943
1129,QN70,201711,7319
1130,QN70,201712,4765
1131,QN70,201801,4083
1132,QN70,201802,4254
1133,QN70,201803,5376
1134,QN71,201709,31
1135,QN71,201710,2864
1136,QN71,201711,3138
1137,QN71,201712,2055
1138,QN71,201801,1812
1139,QN71,201802,1800
1140,QN71,201803,2000
1141,QN72,201710,2836
1142,QN72,201711,2993
1143,QN72,201712,1757
1144,QN72,201801,1439
1145,QN72,201802,1663
1146,QN72,201803,2233
1147,QN99,201710,715
1148,QN99,201711,497
1149,QN99,201712,296
1150,QN99,201801,274
1151,QN99,201802,347
1152,QN99,201803,431
